,subject,score,display,question,dimension,question_number,qdirection,item
8926,sub030,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
8932,sub030,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
8938,sub030,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
8944,sub030,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
8950,sub030,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
8960,sub031,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
8966,sub031,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
8972,sub031,2.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
8978,sub031,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
8984,sub031,0.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
8990,sub031,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
8996,sub031,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
9002,sub031,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
9014,sub031,2.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
9020,sub031,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
9026,sub031,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
9038,sub031,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
9044,sub031,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
9050,sub031,2.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
9056,sub031,4.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
9062,sub031,2.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
9068,sub031,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
9074,sub031,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
9080,sub031,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
9086,sub031,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
9092,sub031,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
9098,sub031,2.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
9104,sub031,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
9110,sub031,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
9116,sub031,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
9122,sub031,1.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
9128,sub031,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
9134,sub031,1.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
9140,sub031,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
9152,sub031,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
9158,sub031,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
9164,sub031,2.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
9170,sub031,2.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
9176,sub031,2.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
9188,sub031,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
9194,sub031,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
9200,sub031,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
9206,sub031,2.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
9212,sub031,1.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
9218,sub031,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
9224,sub031,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
9230,sub031,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
9242,sub031,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
9248,sub031,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
9258,sub032,0.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
9264,sub032,2.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
9270,sub032,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
9276,sub032,1.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
9282,sub032,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
9288,sub032,2.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
9294,sub032,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
9300,sub032,1.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
9306,sub032,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
9312,sub032,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
9318,sub032,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
9324,sub032,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
9330,sub032,3.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
9336,sub032,2.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
9342,sub032,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
9348,sub032,2.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
9360,sub032,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
9366,sub032,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
9372,sub032,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
9378,sub032,2.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
9384,sub032,3.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
9390,sub032,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
9396,sub032,1.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
9402,sub032,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
9408,sub032,0.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
9420,sub032,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
9432,sub032,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
9444,sub032,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
9450,sub032,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
9456,sub032,2.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
9462,sub032,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
9468,sub032,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
9474,sub032,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
9480,sub032,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
9486,sub032,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
9498,sub032,2.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
9504,sub032,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
9510,sub032,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
9516,sub032,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
9522,sub032,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
9528,sub032,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
9534,sub032,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
9540,sub032,2.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
9546,sub032,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
9556,sub033,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
9562,sub033,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
9568,sub033,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
9574,sub033,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
9580,sub033,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
9586,sub033,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
9592,sub033,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
9598,sub033,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
9610,sub033,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
9616,sub033,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
9622,sub033,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
9628,sub033,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
9634,sub033,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
9640,sub033,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
9646,sub033,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
9652,sub033,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
9658,sub033,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
9664,sub033,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
9670,sub033,0.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
9676,sub033,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
9682,sub033,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
9688,sub033,1.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
9694,sub033,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
9700,sub033,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
9706,sub033,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
9712,sub033,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
9724,sub033,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
9730,sub033,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
9736,sub033,4.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
9742,sub033,0.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
9748,sub033,1.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
9754,sub033,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
9760,sub033,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
9766,sub033,3.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
9772,sub033,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
9778,sub033,4.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
9784,sub033,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
9796,sub033,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
9802,sub033,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
9808,sub033,2.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
9826,sub033,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
9832,sub033,1.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
9838,sub033,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
9844,sub033,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
9854,sub034,0.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
9860,sub034,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
9866,sub034,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
9872,sub034,0.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
9878,sub034,0.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
9884,sub034,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
9890,sub034,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
9896,sub034,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
9902,sub034,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
9908,sub034,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
9914,sub034,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
9920,sub034,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
9932,sub034,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
9938,sub034,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
9944,sub034,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
9950,sub034,1.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
9956,sub034,2.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
9962,sub034,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
9968,sub034,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
9974,sub034,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
9986,sub034,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
9992,sub034,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
9998,sub034,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
10004,sub034,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
10010,sub034,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
10016,sub034,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
10022,sub034,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
10028,sub034,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
10034,sub034,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
10052,sub034,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
10058,sub034,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
10064,sub034,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
10070,sub034,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
10076,sub034,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
10082,sub034,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
10088,sub034,1.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
10094,sub034,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
10100,sub034,2.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
10106,sub034,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
10112,sub034,3.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
10124,sub034,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
10130,sub034,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
10136,sub034,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
10142,sub034,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
10152,sub035,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
10158,sub035,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
10164,sub035,4.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
10170,sub035,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
10176,sub035,1.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
10182,sub035,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
10188,sub035,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
10194,sub035,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
10206,sub035,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
10218,sub035,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
10224,sub035,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
10230,sub035,2.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
10236,sub035,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
10242,sub035,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
10248,sub035,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
10254,sub035,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
10260,sub035,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
10266,sub035,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
10278,sub035,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
10284,sub035,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
10290,sub035,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
10296,sub035,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
10302,sub035,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
10308,sub035,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
10314,sub035,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
10326,sub035,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
10332,sub035,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
10338,sub035,4.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
10344,sub035,1.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
10350,sub035,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
10356,sub035,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
10362,sub035,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
10368,sub035,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
10374,sub035,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
10380,sub035,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
10386,sub035,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
10392,sub035,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
10398,sub035,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
10404,sub035,3.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
10410,sub035,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
10422,sub035,3.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
10428,sub035,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
10434,sub035,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
10440,sub035,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
10450,sub036,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
10456,sub036,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
10462,sub036,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
10468,sub036,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
10474,sub036,2.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
10480,sub036,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
10486,sub036,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
10492,sub036,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
10498,sub036,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
10504,sub036,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
10516,sub036,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
10522,sub036,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
10528,sub036,3.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
10534,sub036,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
10540,sub036,1.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
10546,sub036,1.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
10552,sub036,4.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
10558,sub036,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
10564,sub036,1.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
10576,sub036,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
10582,sub036,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
10588,sub036,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
10594,sub036,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
10600,sub036,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
10606,sub036,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
10618,sub036,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
10624,sub036,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
10630,sub036,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
10636,sub036,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
10642,sub036,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
10648,sub036,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
10654,sub036,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
10666,sub036,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
10672,sub036,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
10684,sub036,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
10690,sub036,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
10696,sub036,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
10702,sub036,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
10708,sub036,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
10714,sub036,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
10720,sub036,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
10726,sub036,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
10732,sub036,2.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
10738,sub036,3.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
10748,sub037,3.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
10754,sub037,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
10760,sub037,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
10766,sub037,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
10772,sub037,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
10784,sub037,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
10790,sub037,3.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
10796,sub037,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
10802,sub037,4.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
10808,sub037,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
10814,sub037,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
10820,sub037,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
10832,sub037,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
10838,sub037,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
10844,sub037,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
10850,sub037,2.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
10862,sub037,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
